year,no_education,incomplete_primary,primary,lower_secondary,upper_secondary,post_secondary
1950,779146900,182679090,312358300,203193900,117743896,24890200
1955,779160100,199451410,348608600,233228500,151336210,35092700
1960,775211500,214449200,383322500,264189900,192054500,49243000
1965,772656830,231053400,424251680,307867800,243789400,67761200
1970,777444160,251106400,473796320,367669920,313453200,93009500
1975,783203700,269290600,518933600,436162180,401235200,127906900
1980,792636700,286131200,564281340,521092200,501229300,171830600
1985,801721150,302630900,614316800,624433150,607362800,225205600
1990,809334000,318313300,660873500,733750660,722249340,287856100
1995,815119600,330934600,699061600,827183500,840630800,360313820
2000,816866100,343612200,736926660,930305340,978217150,444747800
2005,813245100,355678180,767363140,1032246800,1141182000,551741700
2010,805673800,363906700,787161860,1110855700,1299715200,689483300
2015,786009600,373994800,812920000,1187487000,1440943200,824001200
2020,760821700,383930000,825804160,1229761700,1624523500,967796700
